Attempted hybrid experiments

Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|7500|168.78559576|57.106485627|[1, 1, 1]|10|4784.2970985|2715.7029015|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|27500|156.110553588|56.8250897423|[1, 1, 1]|5|10764.6684716|16735.3315284|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|27500|126.23852417|56.9095766892|[3, 3, 3]|10|23921.4854925|3578.51450749|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|47500|107.073699699|56.1602750013|[2, 2, 2]|5|32294.0054149|15205.9945851|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|7500|178.265886275|55.8400694614|[0, 0, 0]|5|0.0|7500.0|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|7500|168.78559576|55.7174626382|[1, 1, 1]|10|4784.2970985|2715.7029015|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|27500|156.110553588|56.5088908926|[1, 1, 1]|5|10764.6684716|16735.3315284|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|7500|159.319052233|55.8726639967|[0, 2, 0]|5|7233.85721293|266.142787065|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|7500|163.029941631|55.8449195306|[0, 3, 1]|10|6399.47579896|1100.52420104|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|7500|159.319052233|56.0339553194|[0, 2, 0]|5|7233.85721293|266.142787065|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
The hybrids should begin here.
3|20000|134.981267983|56.5985763535|[1, 3, 0]|5|18067.4195628|1932.58043722|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|131.081859837|55.9376667558|[2, 6, 0]|10|19803.1625501|196.837449881|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
But they didn't... Trying again...
4|20000|153.90836459|113.226760856|[1, 1, 1, 1]|5|10764.6684716|9235.33152837|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
