Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|80000|32.633621222|85.7923242557|[3, 4, 4]|5|Risk-based|78917.9374992|1082.06250079|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|80000|31.8484426603|85.0237628071|[7, 9, 9]|10|Risk-based|79717.8719741|282.128025924|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|80000|31.3523049821|83.6049959893|[12, 14, 13]|15|Risk-based|79956.2666638|43.7333362156|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|80000|32.9050689062|85.3347915873|[16, 18, 18]|20|Risk-based|78553.5251434|1446.47485663|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|80000|31.6631044345|85.8092768843|[41, 48, 47]|50|Risk-based|79661.0071857|338.992814295|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[723.0355, 719.5759999999999, 719.5759999999999]
3|100000|26.6998430794|85.6256569254|[1, 1, 1]|2|Risk-based|86117.347773|13882.652227|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|100000|26.853807738|84.11018853|[4, 4, 4]|5|Risk-based|86117.347773|13882.652227|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|100000|26.8616040199|86.0945352456|[9, 9, 9]|10|Risk-based|86117.347773|13882.652227|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|100000|26.818459463|86.3310420353|[14, 14, 14]|15|Risk-based|86117.347773|13882.652227|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|100000|26.6471751082|86.0333855764|[19, 19, 19]|20|Risk-based|86117.347773|13882.652227|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|100000|26.9816482263|86.367896701|[49, 49, 49]|50|Risk-based|86117.347773|13882.652227|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[723.0355, 719.5759999999999, 719.5759999999999]
4|20000|178.808729252|170.727426741|[0, 0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[543.1415, 539.682, 539.682, 539.682]
4|20000|134.697818476|172.293963511|[0, 0, 3, 0]|5|Risk-based|16121.1675031|3878.83249689|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[543.1415, 539.682, 539.682, 539.682]
4|20000|127.638114576|173.653735899|[0, 2, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[543.1415, 539.682, 539.682, 539.682]
4|20000|126.369176743|170.714606243|[0, 5, 8, 0]|15|Risk-based|19959.5407181|40.4592818618|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[543.1415, 539.682, 539.682, 539.682]
4|20000|127.623299425|173.467736559|[0, 5, 12, 0]|20|Risk-based|19232.2700037|767.729996288|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[543.1415, 539.682, 539.682, 539.682]
4|20000|126.692214678|176.947977597|[0, 15, 30, 0]|50|Risk-based|19740.2051059|259.794894149|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[543.1415, 539.682, 539.682, 539.682]
4|40000|126.242232371|171.842974781|[0, 0, 1, 0]|2|Risk-based|21494.8900041|18505.1099959|39.8288066012|[0.0, 39.8288066012]|[543.1415, 539.682, 539.682, 539.682]
4|40000|89.4281794989|173.961160194|[0, 2, 3, 2]|5|Risk-based|37616.0575073|2383.94249274|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[543.1415, 539.682, 539.682, 539.682]
