Landowners | Budget | Expected Damage | Run Time | Allocation | Levels | Total Budget Used | Remaining Budget | Maximum Amount Offered | Level Amounts | Area of Each Landowner
3|16000|140.684596411|88.9469936658|[0, 7, 0]|9|15673.3572947|326.642705308|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|152.881059414|88.217136662|[0, 1, 0]|2|9645.14295058|7354.85704942|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|139.188279609|91.1991888632|[1, 1, 0]|3|16844.5532244|155.446775595|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|140.095966401|88.1510965628|[0, 3, 0]|4|16075.238251|924.761749034|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|138.999080223|98.392478757|[0, 4, 0]|5|16879.0001635|120.999836486|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|140.456043163|89.0223494077|[1, 3, 1]|6|16327.8491378|672.150862233|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|138.861438893|90.1184021008|[1, 4, 1]|7|16821.5885983|178.411401668|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|139.695527516|88.7091433266|[0, 6, 1]|8|16495.162842|504.837157988|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|17000|138.921745988|91.3952693443|[1, 6, 0]|9|16267.5669943|732.433005674|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|152.881059414|88.6028862299|[0, 1, 0]|2|9645.14295058|8354.85704942|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|139.188279609|88.898811653|[1, 1, 0]|3|16844.5532244|1155.44677559|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|136.010239194|91.156789878|[1, 2, 0]|4|17659.79745|340.20255001|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|138.999080223|88.679946127|[0, 4, 0]|5|16879.0001635|1120.99983649|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|138.390626721|88.7138532267|[0, 5, 0]|6|17361.257311|638.742688957|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|138.00492343|88.2878604319|[0, 6, 0]|7|17682.7620761|317.237923937|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|137.738926804|91.5315531|[0, 7, 0]|8|17912.4083368|87.5916632093|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|18000|136.736046453|90.2190574954|[2, 4, 0]|9|17455.9863936|544.013606406|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|152.881059414|89.9214100506|[0, 1, 0]|2|9645.14295058|9354.85704942|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|139.188279609|89.2718228226|[1, 1, 0]|3|16844.5532244|2155.44677559|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|136.010239194|92.8059604756|[1, 2, 0]|4|17659.79745|1340.20255001|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|134.983150066|101.162376755|[1, 3, 0]|5|18067.4195628|932.580437218|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|134.71267826|94.6890876669|[1, 4, 0]|6|18311.9928305|688.007169542|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|134.689013526|90.3559335049|[1, 5, 0]|7|18475.0416756|524.958324426|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|134.74845065|92.421399977|[1, 6, 0]|8|18591.5051364|408.494863628|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|134.833737046|91.4744481263|[1, 7, 0]|9|18678.852732|321.147268029|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|19000|134.439352468|89.7351325481|[4, 0, 0]|10|18700.8604986|299.139501376|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|152.881059414|89.4414830065|[0, 5, 0]|10|9645.14295058|354.85704942|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|151.439450687|92.1443274593|[0, 5, 1]|10|10686.2059992|313.794000786|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|147.837084512|92.8623146784|[0, 6, 0]|10|11788.5080507|211.491949292|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|13000|146.424900984|97.5258757506|[0, 6, 1]|10|12829.5710993|170.428900658|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
