Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|60000|55.220500767|56.5212781814|[8, 7, 3]|10|59210.4608911|789.539108942|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|53.835565449|56.6559892707|[12, 11, 5]|15|59991.8049543|8.19504565515|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|83.9777313101|57.9766408201|[1, 1, 1]|2|43058.6738865|36941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|35.2241721959|56.9369755548|[4, 4, 4]|5|75352.6793014|4647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|31.1955904496|55.8243407991|[9, 9, 8]|10|79250.9245773|749.075422738|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|31.3720148132|56.2668232061|[14, 14, 11]|15|79026.1993078|973.800692164|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|83.9777313101|57.2799051092|[1, 1, 1]|2|43058.6738865|56941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|35.2241721959|57.0421518822|[4, 4, 4]|5|75352.6793014|24647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|29.7419924053|58.3471262537|[9, 9, 9]|10|81333.0506745|18666.9493255|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|28.3464473318|56.9646184741|[14, 14, 14]|15|83041.7282097|16958.2717903|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
