Started 11/28/17 23:46:38 in McCain 321
Landscape|Landowners|Budget|Expected Damage|Total Run Time|Second Stage Time|Create Model Time|Optimize Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner|Time Completed
Umpqua|5|100000|59.0945051791|371.345124605|370.188134507|1.15698867598|1.08696552503|[19, 19, 19, 19, 19]|20|Hybrid|86117.347773|13882.652227|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[428.97799999999995, 415.14, 560.439, 384.00449999999995, 373.626]|12/02/17 19:11:30
Umpqua|5|100000|59.1265403026|372.45294248|371.264421697|1.18851964503|1.11770659141|[19, 19, 19, 19, 19]|20|Hybrid|86117.347773|13882.652227|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[428.97799999999995, 415.14, 560.439, 384.00449999999995, 373.626]|12/02/17 19:17:43
Umpqua|6|20000|340.029762662|755.65407383|744.119799535|11.5342711662|11.4505807363|[0, 5, 0, 0, 4, 4]|10|Risk-based|19887.3661791|112.633820948|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 19:30:19
Umpqua|6|20000|339.678841128|754.859253964|743.390457964|11.4687945778|11.3851880591|[0, 5, 0, 0, 4, 4]|10|Risk-based|19887.3661791|112.633820948|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 19:42:54
Umpqua|6|20000|340.029931621|1111.16623483|741.913946689|369.252286437|369.129161176|[0, 8, 0, 0, 9, 4]|15|Risk-based|19959.5407181|40.4592818618|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 20:01:25
Umpqua|6|20000|339.74060846|838.141745858|744.446095045|93.6956482535|93.5428099088|[0, 8, 0, 0, 9, 4]|15|Risk-based|19959.5407181|40.4592818618|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 20:15:23
Umpqua|6|20000|339.535172389|1127.3765435|744.267195601|383.109345911|382.960538715|[0, 8, 0, 0, 9, 4]|15|Risk-based|19959.5407181|40.4592818618|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 20:34:11
Umpqua|6|20000|339.892885911|1128.19930266|740.650888619|387.548411761|387.398391409|[0, 8, 0, 0, 9, 4]|15|Risk-based|19959.5407181|40.4592818618|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 20:52:59
Umpqua|6|20000|340.033476455|1114.27685136|740.242488742|374.034360624|373.910389993|[0, 8, 0, 0, 9, 4]|15|Risk-based|19959.5407181|40.4592818618|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 21:11:34
Umpqua|6|20000|338.777182136|1580.72671472|739.803784422|840.922928312|840.735552418|[0, 11, 0, 0, 10, 7]|20|Risk-based|19993.7286577|6.27134229478|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[404.76149999999996, 356.32849999999996, 349.4095, 373.626, 290.59799999999996, 387.464]|12/02/17 21:37:55
