Started 11/01/17 10:17:27 in McCain 321
Landowners|Budget|Expected Damage|Total Run Time|Second Stage Time|Create Model Time|Optimize Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|20000|132.391901709|86.4375161956|86.3642782517|0.0732365216636|0.0627260090175|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|132.769790526|86.1098041514|86.0413172857|0.0684860122942|0.058063108587|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|130.000865661|86.6175244046|86.5106247172|0.106898549702|0.0934303820404|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|129.772396044|87.3717511804|87.2713382521|0.100411506012|0.0871561029153|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|130.277410473|86.1586350414|86.0624987378|0.0961351658013|0.0826820737036|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|130.043974033|83.6567413514|83.5599880875|0.0967518417078|0.0834199230121|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|129.435316565|85.7142557663|85.6255995026|0.0886548415456|0.0752117050097|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|116.601712581|85.6481332043|85.6428857702|0.00524629631809|0.00285269495635|[0, 1, 0]|2|Risk-based|28659.8533389|11340.1466611|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|116.826856046|85.1402670309|85.13471069|0.00555491871546|0.00282026827108|[0, 1, 0]|2|Risk-based|28659.8533389|11340.1466611|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|116.802605008|85.8060104852|85.8008711401|0.00513792292304|0.00272441043853|[0, 1, 0]|2|Risk-based|28659.8533389|11340.1466611|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|116.836364233|83.782547503|83.7776911802|0.00485490053961|0.00255801034427|[0, 1, 0]|2|Risk-based|28659.8533389|11340.1466611|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|116.993226329|85.6037319701|85.5985764116|0.00515356737606|0.00264419705991|[0, 1, 0]|2|Risk-based|28659.8533389|11340.1466611|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|95.3347353081|87.2997625172|87.2763154639|0.0234456311155|0.0192182153774|[0, 3, 2]|5|Risk-based|35824.8166736|4175.18332642|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|95.7129483669|85.1600271133|85.1349171968|0.0251087787287|0.0208037096127|[0, 3, 2]|5|Risk-based|35824.8166736|4175.18332642|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|95.455108281|84.0976407311|84.0744963268|0.0231429820547|0.018813166258|[0, 3, 2]|5|Risk-based|35824.8166736|4175.18332642|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|95.0105708709|84.9052261861|84.8814864392|0.0237386090603|0.0194119221542|[0, 3, 2]|5|Risk-based|35824.8166736|4175.18332642|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|95.2295894788|83.4804019089|83.4552353879|0.0251648143158|0.0208839229917|[0, 3, 2]|5|Risk-based|35824.8166736|4175.18332642|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|90.7469771518|85.7479553411|85.6991346911|0.0488189433281|0.0416131081179|[0, 6, 6]|10|Risk-based|38213.1377852|1786.86221485|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|90.8216768527|85.4103215845|85.360807743|0.0495121348335|0.0421538373143|[0, 6, 6]|10|Risk-based|38213.1377852|1786.86221485|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
