Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
5|20000|133.376897698|225.759370751|[0, 0, 0, 0, 1]|2|16810.1062853|3189.8937147|39.8288066012|[0.0, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|20000|122.27894021|224.782599086|[2, 0, 0, 0, 3]|5|19910.3308051|89.669194875|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|20000|122.889312469|226.261731074|[3, 0, 0, 3, 5]|10|19810.8174255|189.182574524|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|20000|122.602475097|228.510442539|[3, 0, 0, 6, 8]|15|19939.8567529|60.1432470671|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|40000|101.515775965|226.16271952|[0, 0, 0, 1, 1]|2|33620.2125706|6379.78742941|39.8288066012|[0.0, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|40000|84.7568939601|227.379999545|[3, 1, 0, 3, 3]|5|39200.6167063|799.383293716|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|40000|82.7361292462|230.613028427|[6, 0, 4, 4, 6]|10|39866.5908624|133.409137604|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|40000|82.3590951586|250.85922796|[7, 0, 6, 8, 10]|15|39958.4493667|41.5506333131|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|60000|63.8745960546|226.064437283|[0, 0, 1, 1, 1]|2|59386.5230243|613.476975717|39.8288066012|[0.0, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|60000|52.0795100111|226.639465301|[3, 2, 2, 3, 4]|5|59317.6291461|682.370853935|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|60000|50.2617394883|226.929126868|[6, 5, 6, 7, 7]|10|59799.8862936|200.113706406|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|60000|50.1644092491|241.756669094|[9, 8, 10, 10, 11]|15|59937.67405|62.3259499696|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|80000|38.8216584161|225.007241681|[1, 0, 1, 1, 1]|2|73992.0252066|6007.97479341|39.8288066012|[0.0, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|80000|29.5129150866|225.428845837|[4, 4, 3, 4, 4]|5|79675.7701596|324.229840391|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|80000|28.7433154645|226.690243826|[8, 7, 9, 8, 9]|10|79932.2084841|67.791515911|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|80000|28.5660763726|227.329545002|[13, 13, 13, 12, 14]|15|79966.1086464|33.891353613|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|100000|24.078245014|224.865401551|[1, 1, 1, 1, 1]|2|86117.347773|13882.652227|39.8288066012|[0.0, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|100000|24.078245014|226.199664355|[4, 4, 4, 4, 4]|5|86117.347773|13882.652227|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|100000|24.078245014|226.292952879|[9, 9, 9, 9, 9]|10|86117.347773|13882.652227|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
5|100000|24.078245014|227.489063949|[14, 14, 14, 14, 14]|15|86117.347773|13882.652227|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[366.707, 304.436, 646.9264999999999, 422.05899999999997, 422.05899999999997]
6|20000|127.554946267|454.942467332|[0, 0, 0, 0, 1, 1]|2|17912.4083368|2087.59166321|39.8288066012|[0.0, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|20000|121.888718446|453.74010331|[0, 1, 0, 0, 3, 4]|5|19944.7777442|55.2222557658|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|20000|120.894364851|463.997269614|[0, 4, 0, 0, 5, 7]|10|19994.5344341|5.46556594134|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|20000|120.42345873|561.939175736|[0, 0, 0, 6, 10, 10]|15|19998.9086485|1.09135145128|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|40000|94.3690280653|454.351567576|[0, 1, 0, 0, 1, 1]|2|37064.9064815|2935.09351849|39.8288066012|[0.0, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
6|40000|82.5085844628|454.519062072|[0, 2, 2, 2, 2, 4]|5|39889.5554885|110.444511532|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[332.11199999999997, 480.8705, 477.41099999999994, 422.05899999999997, 276.76, 172.975]
